player_id,time,card_type,reason,period,match_id
6839,09:15,Yellow Card,Foul Committed,1,15946
6855,40:48,Yellow Card,Bad Behaviour,1,15946
5213,59:02,Yellow Card,Foul Committed,2,15956
6760,48:44,Yellow Card,Foul Committed,2,15956
8206,87:19,Yellow Card,Foul Committed,2,15973
6734,25:39,Yellow Card,Foul Committed,1,15973
11674,86:10,Yellow Card,Foul Committed,2,15973
6671,42:55,Yellow Card,Foul Committed,1,15978
5492,86:29,Yellow Card,Foul Committed,2,15978
5213,80:38,Yellow Card,Bad Behaviour,2,15986
6374,11:54,Yellow Card,Foul Committed,1,15986
6826,32:36,Red Card,Foul Committed,1,15986
11392,13:56,Yellow Card,Foul Committed,1,15986
6351,15:06,Yellow Card,Foul Committed,1,15986
6572,60:26,Yellow Card,Foul Committed,2,15986
6573,38:07,Yellow Card,Foul Committed,1,15986
6579,67:22,Yellow Card,Foul Committed,2,15986
6582,68:33,Yellow Card,Bad Behaviour,2,15986
5492,59:14,Yellow Card,Foul Committed,2,15998
6332,63:50,Yellow Card,Foul Committed,2,15998
3991,87:15,Yellow Card,Foul Committed,2,15998
6301,91:16,Yellow Card,Foul Committed,2,15998
6598,48:02,Yellow Card,Foul Committed,2,15998
6599,39:31,Yellow Card,Foul Committed,1,15998
6775,89:20,Yellow Card,Foul Committed,2,16010
6877,47:41,Yellow Card,Foul Committed,2,16010
11744,89:29,Yellow Card,Bad Behaviour,2,16010
5203,88:47,Yellow Card,Bad Behaviour,2,16010
5470,77:12,Yellow Card,Bad Behaviour,2,16010
5503,93:06,Yellow Card,Bad Behaviour,2,16010
6583,42:31,Yellow Card,Foul Committed,1,16023
6595,57:04,Yellow Card,Foul Committed,2,16023
3501,57:30,Yellow Card,Bad Behaviour,2,16023
5246,40:47,Yellow Card,Bad Behaviour,1,16023
11541,61:25,Yellow Card,Foul Committed,2,16029
5203,59:05,Yellow Card,Bad Behaviour,2,16056
5470,43:13,Yellow Card,Foul Committed,1,16056
5470,80:57,Second Yellow,Foul Committed,2,16056
8206,72:44,Yellow Card,Foul Committed,2,16056
5563,23:54,Yellow Card,Foul Committed,1,16056
6648,68:13,Yellow Card,Foul Committed,2,16056
6658,65:52,Yellow Card,Foul Committed,2,16056
5203,28:17,Yellow Card,Foul Committed,1,16073
5492,70:58,Yellow Card,Bad Behaviour,2,16073
6998,92:47,Yellow Card,Foul Committed,2,16073
5198,70:45,Yellow Card,Bad Behaviour,2,16073
5484,38:22,Yellow Card,Foul Committed,1,16073
5487,47:46,Yellow Card,Foul Committed,2,16073
6320,86:31,Yellow Card,Bad Behaviour,2,16073
6765,85:27,Yellow Card,Foul Committed,2,16073
5211,67:59,Yellow Card,Bad Behaviour,2,16079
6826,17:18,Yellow Card,Foul Committed,1,16079
6737,90:13,Yellow Card,Foul Committed,2,16079
6752,10:35,Yellow Card,Foul Committed,1,16079
6762,25:45,Yellow Card,Foul Committed,1,16079
6764,89:23,Yellow Card,Foul Committed,2,16079
6886,78:03,Yellow Card,Foul Committed,2,16086
5211,44:34,Yellow Card,Bad Behaviour,1,16095
5470,35:49,Yellow Card,Foul Committed,1,16095
5477,17:15,Yellow Card,Foul Committed,1,16095
6691,58:42,Yellow Card,Bad Behaviour,2,16095
6807,24:07,Yellow Card,Foul Committed,1,16095
6809,75:33,Red Card,Foul Committed,2,16095
5217,44:56,Yellow Card,Bad Behaviour,1,16109
5211,13:03,Yellow Card,Foul Committed,1,16120
8206,64:01,Yellow Card,Foul Committed,2,16120
11392,11:36,Yellow Card,Foul Committed,1,16120
4546,14:30,Yellow Card,Bad Behaviour,1,16120
6627,60:45,Yellow Card,Foul Committed,2,16120
